a0,a1,a2,a3,a4,a5,a6,a7,a8,labels
777,138.0,5,123.05449010809905,17,3,0.8649031568914995,23,7,5.0
686,90.0,7,111.01332306206572,3,1,0.7078193104538707,21,5,5.0
713,117.0,7,150.149268433595,15,3,0.5694812366369223,2,4,5.0
941,114.0,4,212.84105221834977,10,7,0.41411839977608556,32,1,5.0
854,109.0,7,67.0699764466508,12,1,0.6671179326206685,48,6,5.0
805,86.0,8,89.89155996872994,16,10,0.8202995312479221,31,7,5.0
685,91.0,6,151.10813254791168,11,2,0.22274767691225061,59,6,4.0
413,71.0,1,284.8025224723432,0,6,0.2874625531198472,28,3,2.0
806,79.0,4,161.78829299393362,4,1,0.23426913520982381,16,7,4.0
194,83.0,2,155.20241969005704,16,9,0.9159445267392099,60,2,3.0
807,117.0,1,53.30962846955869,14,1,0.3482625112859498,36,6,4.0
765,84.0,7,238.5830853820935,3,3,0.21506432182664137,60,8,4.0
814,96.0,1,98.02573690988093,3,1,0.7081496055131115,56,6,4.0
334,112.0,7,257.81706156945006,5,4,0.46106566005289723,41,3,3.0
722,72.0,2,88.35527540995558,16,6,0.891258654577937,16,8,4.0
296,81.0,2,71.20567217487385,13,8,0.2537353125004711,5,6,3.0
436,65.0,3,93.53909333883804,1,2,0.9921164672635064,44,1,3.0
930,83.0,5,264.97209133188903,6,3,0.6713660414996103,24,3,5.0
158,72.0,8,189.03131028087557,6,9,0.7806683062888077,46,5,3.0
378,142.0,2,88.60301699118854,9,1,0.24943099655994996,22,3,2.0
749,81.0,1,170.99891547378482,0,6,0.4024182744172458,56,8,3.0
477,100.0,2,164.01896029293204,0,5,0.807297582690203,45,2,3.0
330,102.0,4,174.305478011499,1,10,0.34052934303855154,80,1,3.0
139,72.0,7,125.35029256318742,7,10,0.556540314428363,54,6,3.0
688,96.0,3,156.4566527968407,3,5,0.8256467521891335,18,1,4.0
471,83.0,7,229.15193917225426,3,4,0.3629696840804341,58,1,4.0
844,66.0,8,259.79809042742556,9,7,0.8694183573105948,3,3,5.0
904,78.0,1,112.75420323552773,3,4,0.6369170107934466,77,5,4.0
534,125.0,7,162.10142255156092,20,3,0.5506889125969406,90,6,4.0
371,83.0,8,288.4348999993199,3,8,0.9351065829690391,81,6,4.0
297,86.0,1,16.776370088622745,20,10,0.9006868550604091,85,8,3.0
890,65.0,4,110.04329007611577,15,1,0.758871187672316,95,8,5.0
287,99.0,5,94.23391865165723,14,4,0.8457446472366209,32,2,4.0
791,69.0,6,257.6072414801218,7,7,0.5004177810276123,12,6,4.0
500,69.0,2,180.78054085664078,12,5,0.6271447669157948,69,8,4.0
916,79.0,5,297.2553039820354,1,3,0.22300193021842832,30,8,4.0
357,91.0,2,87.08774329571226,11,3,0.02256397320327071,74,6,2.0
906,98.0,2,128.14502509012675,12,9,0.3930595103366956,19,3,4.0
91,102.0,8,230.98949754368635,6,10,0.7244335914240959,99,7,3.0
574,70.0,7,272.53671171917705,2,7,0.8785508170279779,36,6,4.0
503,76.0,7,256.0530980192009,16,5,0.9858353522580443,1,3,5.0
746,112.0,1,34.77803491306527,1,9,0.9975896777359652,93,5,4.0
509,84.0,2,293.4671186401188,12,5,0.1720976240621527,45,1,3.0
301,93.0,1,179.69264073988805,12,3,0.811206826956267,77,1,3.0
27,112.0,3,237.68980187585433,3,3,0.7634816111807512,44,5,3.0
684,65.0,2,27.132217531838467,14,8,0.7337285699356796,96,1,4.0
381,95.0,2,295.68434312158894,3,9,0.013911555634138192,50,6,2.0
376,79.0,5,276.2009669559812,14,10,0.915846645400538,100,2,4.0
67,121.0,3,106.83493214237113,17,4,0.7081629817592462,97,6,3.0
999,128.0,1,14.804256543595054,10,7,0.10702229726523252,21,3,3.0
126,81.0,4,99.55366335848707,3,2,0.17733732539536995,60,4,2.0
269,100.0,4,53.01147830132097,10,4,0.7209734343532467,48,8,3.0
629,108.0,7,123.14631331409798,5,10,0.5342581290015506,90,3,4.0
67,117.0,7,219.88538219880357,0,4,0.361522245087362,21,3,2.0
490,93.0,2,269.6798259766853,0,2,0.6087049414479146,21,1,3.0
559,96.0,5,183.2078279339977,12,7,0.7485543999620556,18,4,4.0
866,127.0,8,46.88195307346825,3,3,0.0967385469159678,84,6,3.0
502,118.0,3,52.959783516878296,12,1,0.2375120568463709,5,7,3.0
154,117.0,1,112.05963811518146,15,5,0.7788926159685617,72,5,3.0
358,71.0,4,87.73741900816803,7,9,0.01982914831911537,30,2,2.0
565,118.0,3,254.7449625676381,4,9,0.6899527120854877,19,5,4.0
981,68.0,3,10.908151497108376,10,5,0.3877096568115925,47,3,4.0
947,75.0,8,68.39675986535062,3,2,0.3953289089487542,84,2,5.0
988,100.0,3,280.6202706534425,13,9,0.8112211478733489,94,4,5.0
285,80.0,2,232.5047736097278,17,7,0.36337844928627655,76,4,3.0
617,101.0,7,175.2338878877627,12,10,0.3766527271504753,10,6,4.0
668,90.0,4,189.93701197449423,13,5,0.8949187309928246,17,4,5.0
768,104.0,4,259.933799576193,17,9,0.03189527320801618,76,8,3.0
462,104.0,1,115.99892759657979,10,3,0.7617390949544512,54,3,3.0
263,118.0,4,106.12324099109159,16,6,0.20007513590492723,90,5,3.0
635,89.0,4,38.689580865084004,20,1,0.9028009913746965,30,1,4.0
539,100.0,4,111.57094916841051,12,6,0.3242398879199787,4,1,4.0
496,71.0,8,122.14377817988591,1,8,0.661887669387404,30,6,4.0
232,83.0,5,160.70185552400378,14,5,0.9518114296187823,18,4,4.0
225,98.0,7,90.2039419022821,0,6,0.8551375180839654,62,3,3.0
950,120.0,1,239.99264655550837,16,8,0.6367363695507166,3,6,4.0
125,110.0,1,212.26903925306794,13,1,0.8118882990103453,80,5,3.0
683,129.0,8,220.82746246563465,11,4,0.04581927016793433,67,1,3.0
114,128.0,4,201.33593656896502,20,8,0.348901025664788,89,4,3.0
953,100.0,4,73.20898332017778,2,10,0.038091917755260496,82,7,3.0
975,75.0,2,135.79300004678728,5,8,0.5189522697988979,77,2,4.0
627,72.0,1,173.3317639641653,9,8,0.31220086062430724,100,8,3.0
509,106.0,8,149.93344274784945,16,3,0.15903756058897736,50,3,3.0
713,82.0,4,128.27401227905182,20,2,0.4996506116746565,90,4,4.0
476,69.0,1,72.88656652060148,17,4,0.21385850494528488,38,2,3.0
115,125.0,8,239.90652995709175,12,8,0.661631892396989,65,8,3.0
407,105.0,4,228.89884765040327,9,6,0.5159354295555695,14,4,3.0
343,88.0,8,187.81457074647685,3,1,0.7988241320683565,74,4,4.0
882,120.0,5,220.70206193175989,14,10,0.08958510078908784,21,8,3.0
898,97.0,2,63.17393104573236,7,1,0.47951987829739295,75,8,4.0
490,103.0,6,207.45359975947153,15,10,0.926857254350647,7,7,4.0
281,67.0,3,237.02536874016758,19,8,0.478416795749309,14,3,3.0
541,85.0,1,146.4740843236745,18,3,0.7262507760477328,39,7,4.0
621,104.0,8,149.92583851720912,14,10,0.6493153641030269,92,5,5.0
466,65.0,1,149.66996994412915,5,7,0.7132358139535802,61,1,3.0
991,105.0,8,23.16486420533601,3,3,0.5192729674895288,49,7,5.0
629,72.0,6,163.57697461237493,0,6,0.12092451652722161,44,7,3.0
52,68.0,3,179.80263272465783,1,8,0.6038061268889238,77,8,2.0
820,115.0,8,5.859964341644322,12,9,0.3646712501960356,32,2,4.0
